Sentence,Error Explanation
"He could of called you if he had known.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"She has finished her work by the deadline.", "Correct sentence."
"None of the evidence are convincing.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"He didn’t knew about the changes.", "Incorrect verb form 'knew' instead of 'know' after 'didn’t'."
"Her explanation were detailed and clear.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Her explanation'."
"None of the information were correct.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"Each of the players have their own strategy.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the students were absent today.", "Correct sentence."
"She don’t know where he lives.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"He was the only one who have completed the task.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"Each candidate were interviewed yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"The movie was great, but it’s not the best.", "Correct sentence."
"Her brother and I was excited about the trip.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"None of the data is available.", "Correct sentence."
"She said he will be here by 5 PM.", "Incorrect verb tense 'will' instead of 'would' for reported speech."
"Each of the students were given a chance to speak.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"He had less problems than he thought.", "Incorrect use of 'less' instead of 'fewer' with countable nouns 'problems'."
"None of the options is appealing.", "Correct sentence."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Her explanation was more clear than his.", "Incorrect use of 'more clear' instead of 'clearer' for comparative adjectives."
"Each of the students has a unique perspective.", "Correct sentence."
"None of the information is correct.", "Correct sentence."
"She have finished her work by the deadline.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"Each of the players were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"She have a lot of ideas to share.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"None of the informations are relevant.", "Incorrect plural form 'informations' instead of 'information' and 'are' instead of 'is'."
"He did not knew the answer.", "Incorrect verb form 'knew' instead of 'know' after 'did not'."
"Each of the students were excited.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"The report were completed yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'The report'."
"She can plays the guitar very well.", "Incorrect verb form 'plays' instead of 'play' after 'can'."
"Hes the best player on the team.", "Typing error 'Hes' instead of 'He's'."
"Neither the teacher nor the students was aware.", "Incorrect verb form 'was' instead of 'were' with the compound subject."
"None of the students were absent yesterday.", "Correct sentence."
"Their going to the concert tonight.", "Incorrect use of 'Their' instead of 'They’re'."
"Each student have completed their assignment.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"The informations is incorrect.", "Incorrect plural form 'informations' instead of 'information' and 'is' instead of 'are'."
"She don't understand the question.", "Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'She'."
"His car needs to be fixed soon.", "Correct sentence."
"He could of gone if he wanted.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"She have been there for two weeks.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"The book were interesting.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'The book'."
"There are three dogs in the park.", "Correct sentence."
"She don't like when he talks loudly.", "Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'She'."
"His family were very supportive.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'His family'."
"The meetings was postponed.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'The meetings'."
"She don't understand the instructions.", "Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'She'."
"Neither of the answers are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'Neither'."
"Hes going to the store.", "Typing error 'Hes' instead of 'He's'."
"Each candidate were interviewed yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each candidate'."
"None of the people were there.", "Correct sentence."
"She said that he don't like pizza.", "Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'he'."
"The information are not clear.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'The information'."
"Every student must bring their book.", "Incorrect pronoun 'their' instead of 'his or her' with the singular subject 'Every student'."
"The car need washing.", "Incorrect verb form 'need' instead of 'needs' with the singular subject 'The car'."
"None of the items are available.", "Correct sentence."
"She was the only one who have done the work.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"The new policy were announced yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'The new policy'."
"Hes been here for a long time.", "Typing error 'Hes' instead of 'He's'."
"She have two brothers.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"None of the paintings was on the wall.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"Each person have their own opinion.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each person'."
"Theyre coming to the party later.", "Typing error 'Theyre' instead of 'They’re'."
"The news were surprising.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'The news'."
"She don’t like how he speaks.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"The car need to be cleaned.", "Incorrect verb form 'need' instead of 'needs' with the singular subject 'The car'."
"None of the answers were correct.", "Correct sentence."
"The company is expanding its operations.", "Correct sentence."
"She can play the piano very good.", "Incorrect use of 'good' instead of 'well' for adverbial usage."
"Their going to the concert tomorrow.", "Incorrect use of 'Their' instead of 'They’re'."
"Each student have a unique perspective.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the questions was answered.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Her brother and I was happy to see the results.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"None of the data are accurate.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"She don't understand why they left.", "Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'She'."
"Each of the employees were given a bonus.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"The movie starts at 8 PM, but we arrived early.", "Correct sentence."
"Her brother, who is very smart, don’t like dogs.", "Incorrect verb form 'don’t' instead of 'doesn't' with the singular subject 'Her brother'."
"None of the options is appealing.", "Correct sentence."
"He could of called you if he had known.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the players were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"The dog and the cat was playing outside.", "Incorrect verb form 'was' instead of 'were' with the compound subject 'The dog and the cat'."
"None of the evidence are convincing.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"Her explanation was more clear than his.", "Incorrect use of 'more clear' instead of 'clearer' for comparative adjectives."
"Each of the students has completed their project on time.", "Correct sentence."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"He was the only one who have completed the task.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"Each candidate were interviewed yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each candidate'."
"None of the students was absent today.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She said he will be here by 5 PM.", "Incorrect verb tense 'will' instead of 'would' for reported speech."
"Her mother, who is very kind, don’t like cats.", "Incorrect verb form 'don’t' instead of 'doesn't' with the singular subject 'Her mother'."
"Each of the students were given a chance to speak.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"The cake were delicious but it’s not what I expected.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'The cake'."
"She said that he doesn’t like to play soccer.", "Correct sentence."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"He was the only one who have seen the movie.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"Each of the students has a unique perspective.", "Correct sentence."
"She have finished her work by the deadline.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"None of the paintings was on the wall.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"Each of the employees were given a bonus.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Her brother and I was happy to see the results.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"None of the data is available.", "Correct sentence."
"She said he would be here by 5 PM.", "Correct sentence."
"Each player were given a trophy.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the books was on the shelf.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She has more better results than her sister.", "Incorrect use of 'more better' instead of 'better' for comparative adjectives."
"He was the only one who have seen the movie.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"None of the proposals is acceptable.", "Correct sentence."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Her explanation were detailed and clear.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Her explanation'."
"Each of the players have their own strategy.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the information are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"She could of finished the assignment if she tried.", "Incorrect use of 'of' instead of 'have' after 'could'."
"Each person must have their own book.", "Incorrect pronoun 'their' instead of 'his or her' with the singular subject 'Each person'."
"None of the team was able to finish the project.", "Correct sentence."
"He don’t want to go to the party.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'He'."
"None of the data have been reviewed.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'None'."
"Each of the candidates have a strong background.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"Her brother and I was excited about the trip.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"The manager and the employees was late.", "Incorrect verb form 'was' instead of 'were' with the compound subject 'The manager and the employees'."
"He did not knew the answer.", "Incorrect verb form 'knew' instead of 'know' after 'did not'."
"None of the questions was answered.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"Each student were asked to complete the form.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each student'."
"None of the proposals were accepted.", "Correct sentence."
"She don’t understand the question.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"Her explanation was more clearer than his.", "Incorrect use of 'more clearer' instead of 'clearer' for comparative adjectives."
"None of the evidence were convincing.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"His car are parked outside.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'His car'."
"None of the books were on the shelf.", "Correct sentence."
"He was the only one who have completed the task.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"None of the paintings was on the wall.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She could of finished the assignment if she tried.", "Incorrect use of 'of' instead of 'have' after 'could'."
"Each of the books were on the shelf.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"Her explanation were more detailed than his.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Her explanation'."
"None of the data is correct.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"He have never been to that place before.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'He'."
"Each student have their own project.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the options was appealing.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He could of made a mistake.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"She said he was coming tomorrow.", "Correct sentence."
"None of the children was happy with the result.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the students were given a chance to speak.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the data is available.", "Correct sentence."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"He was the only one who have completed the task.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"None of the information were accurate.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She said he could of done it better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"The dog and the cat was playing outside.", "Incorrect verb form 'was' instead of 'were' with the compound subject 'The dog and the cat'."
"None of the evidence are convincing.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"Her explanation was more clear than his.", "Incorrect use of 'more clear' instead of 'clearer' for comparative adjectives."
"Each of the students has completed their project on time.", "Correct sentence."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"He was the only one who have seen the movie.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"Each of the students has a unique perspective.", "Correct sentence."
"She have finished her work by the deadline.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"None of the paintings was on the wall.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"Each of the employees were given a bonus.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Her brother and I was happy to see the results.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"None of the data are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each of the employees were given a bonus.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the data is correct.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"Her explanation was more clearer than his.", "Incorrect use of 'more clearer' instead of 'clearer' for comparative adjectives."
"None of the books were on the shelf.", "Correct sentence."
"She said he would be here by 5 PM.", "Correct sentence."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the reports were accurate.", "Correct sentence."
"She has been working there since five years.", "Incorrect preposition 'since' instead of 'for' with a duration of time."
"He could of called you if he had known.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student were given a chance to speak.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each student'."
"None of the books was on the shelf.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"Her brother and I was excited about the trip.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"Each of the players have their own strategy.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the information is available.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the students has completed their project on time.", "Correct sentence."
"None of the paintings was on the wall.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He was the only one who have completed the task.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"She said he was coming tomorrow.", "Correct sentence."
"Each of the candidates were interviewed yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each candidate'."
"None of the books were on the shelf.", "Correct sentence."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the reports is accurate.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each of the students have their own project.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the data is correct.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"He could of made a mistake.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Her brother and I was happy to see the results.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"None of the evidence were convincing.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She said he would be here by 5 PM.", "Correct sentence."
"Each of the books were on the shelf.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"Her explanation were more detailed than his.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Her explanation'."
"None of the data is available.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each student has completed their project on time.", "Correct sentence."
"None of the information are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the players have their own strategy.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the students were absent.", "Correct sentence."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each player were given a trophy.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the questions was answered.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He could of called you if he had known.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"She don’t understand the instructions.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each of the students has a unique perspective.", "Correct sentence."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"He was the only one who have seen the movie.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"Each of the candidates were interviewed yesterday.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each candidate'."
"None of the books were on the shelf.", "Correct sentence."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the reports is accurate.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"Her brother and I was excited about the trip.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"Each of the players have their own strategy.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the students were absent.", "Correct sentence."
"She said he would be here by 5 PM.", "Correct sentence."
"None of the information are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the students has completed their project on time.", "Correct sentence."
"None of the books was on the shelf.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each of the students have their own project.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the data is correct.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"Her explanation was more clearer than his.", "Incorrect use of 'more clearer' instead of 'clearer' for comparative adjectives."
"Each student has completed their project on time.", "Correct sentence."
"He was the only one who have seen the movie.", "Incorrect verb form 'have' instead of 'had' with the past tense."
"None of the data is available.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"Each of the students have completed their projects.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the paintings was on the wall.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"Her explanation were more detailed than his.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Her explanation'."
"None of the information is correct.", "Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"She don’t like the way they talk.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each player were given a medal.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"He should of known better.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"None of the reports are correct.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"Each of the students has completed their project on time.", "Correct sentence."
"None of the books were on the shelf.", "Correct sentence."
"He could of made a mistake.", "Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Her brother and I was happy to see the results.", "Incorrect pronoun usage 'I' and verb form 'was' instead of 'were'."
"None of the data are accurate.", "Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"Each of the students have their own project.", "Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the reports was accurate.", "Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She don’t understand why they left.", "Incorrect use of 'don’t' instead of 'doesn’t' with the singular subject 'She'."
"Each student were given a chance to speak.", "Incorrect verb form 'were' instead of 'was' with the singular subject 'Each student'."
"She dont know where is the keys.","Incorrect use of 'dont' instead of 'doesn't' and incorrect word order 'where is the keys' should be 'where the keys are'."
"The children was playing in the park.","Incorrect verb form 'was' instead of 'were' with the plural subject 'The children'."
"Him and I went to the store.","Incorrect pronoun 'Him' should be 'He'."
"The team have finished their project.","Incorrect verb form 'have' instead of 'has' with the singular subject 'The team'."
"Neither of them are going to the party.","Incorrect verb form 'are' instead of 'is' with the singular subject 'Neither'."
"She don't want to go to the concert.","Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'She'."
"Its a beautiful day outside.","Incorrect use of 'Its' instead of 'It's' (contraction of 'It is')."
"None of the information were useful.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"They has already left for vacation.","Incorrect verb form 'has' instead of 'have' with the plural subject 'They'."
"She would of gone if she knew.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"The book which I bought is on the table.","Correct sentence."
"Him and his friend is coming over.","Incorrect pronoun 'Him' should be 'He' and incorrect verb form 'is' instead of 'are'."
"Each of the participants have received a certificate.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the data are reliable.","Incorrect verb form 'are' instead of 'is' with the singular subject 'None'."
"She didnt know the answer.","Incorrect use of 'didnt' instead of 'didn't'."
"The cats tail is fluffy.","Incorrect use of 'cats' should be 'cat's' for possessive form."
"Neither the students or the teacher knew about the change.","Incorrect conjunction 'or' should be 'nor'."
"Each student have to bring their own lunch.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"I have seen him yesterday.","Incorrect use of 'have' with a specific time reference 'yesterday' (should be past simple 'saw')."
"The car need to be fixed soon.","Incorrect verb form 'need' instead of 'needs' with the singular subject 'The car'."
"Its important to follow the instructions carefully.","Incorrect use of 'Its' instead of 'It's' (contraction of 'It is')."
"She enjoys going to the theater and seeing plays.","Correct sentence."
"He have never been to Paris.","Incorrect verb form 'have' instead of 'has' with the singular subject 'He'."
"None of the students were absent today.","Correct sentence."
"The book is laying on the table.","Incorrect verb form 'laying' instead of 'lying'."
"She said that he can call her later.","Correct sentence."
"Each of the flowers are blooming beautifully.","Incorrect verb form 'are' instead of 'is' with the singular subject 'Each'."
"The committee are meeting tomorrow.","Incorrect verb form 'are' instead of 'is' with the singular subject 'The committee'."
"She have finished her homework already.","Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"None of the answers was correct.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He didnt know where he was going.","Incorrect use of 'didnt' instead of 'didn't'."
"The news are not good.","Incorrect verb form 'are' instead of 'is' with the singular subject 'The news'."
"She asked me to come earlyer.","Incorrect spelling of 'earlier'."
"Each player have a different strategy.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each player'."
"None of the evidence were convincing.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She was the only one who have finished the work.","Incorrect verb form 'have' instead of 'had' with the past tense."
"Neither of the answers are correct.","Incorrect verb form 'are' instead of 'is' with the singular subject 'Neither'."
"The teacher and the students was in the room.","Incorrect verb form 'was' instead of 'were' with the compound subject 'The teacher and the students'."
"She could of gone if she had known.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student were given a book.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each student'."
"None of the reports was accurate.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He don’t know where she is at.","Incorrect use of 'don’t' instead of 'doesn’t' and incorrect word order 'where she is at' should be 'where she is'."
"None of the cars is missing.","Incorrect verb form 'is' instead of 'are' with the plural subject 'None'."
"She have been there for two hours.","Incorrect verb form 'have' instead of 'has' with the singular subject 'She'."
"Each student were excited for the field trip.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each student'."
"None of the students was late.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He has went to the store already.","Incorrect verb form 'went' instead of 'gone' with the perfect tense."
"She should of known better.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each teacher have a unique teaching style.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each teacher'."
"None of the guests were happy with the arrangements.","Correct sentence."
"Her and I are going to the concert.","Incorrect pronoun 'Her' should be 'She'."
"The movie were exciting.","Incorrect verb form 'were' instead of 'was' with the singular subject 'The movie'."
"None of the advice were useful.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She don't like that type of music.","Incorrect use of 'don't' instead of 'doesn't' with the singular subject 'She'."
"Each of the items have been sold out.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each'."
"None of the information were accurate.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She could of done better in the exam.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student has completed their assignment on time.","Correct sentence."
"None of the books was interesting.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He didn’t of finished the project.","Incorrect use of 'of' instead of 'have' in the past perfect tense."
"Each player have their own locker.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each player'."
"None of the rooms was clean.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She don’t think that is a good idea.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'She'."
"Each of the buildings were renovated.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the documents was signed.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He could of gone if he had known.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Her explanation were unclear.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Her explanation'."
"Each student were given a new textbook.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each student'."
"None of the workers was on time.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She dont have any questions.","Incorrect use of 'dont' instead of 'doesn't' with the singular subject 'She'."
"Each teacher have their own way of teaching.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each teacher'."
"None of the advice were helpful.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She should of finished it by now.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the students was responsible for their own project.","Correct sentence."
"None of the cars were damaged.","Correct sentence."
"He don’t know where she is going.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each player were given a chance to speak.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the information were clear.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She could of called you earlier.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
